;ID;duration;time_deta;mean_deficit;max_deficit;sum_deficit;list_deficit;Qmin;start_date;start_year;start_month;max_date;max_month;end_date;Station;River
66;66;18;28;297.0778935185185;408.0;5347.402083333333;[72.0, 128.0, 169.0916666666667, 220.0, 296.0, 318.0, 362.0, 408.0, 370.0, 378.19791666666674, 388.1604166666666, 390.0, 380.0, 369.95208333333335, 328.0, 288.0, 256.0, 226.0];1190;1909-05-14;1909;5;1909-06-07;6;1909-06-01;6335050;RHINE RIVER
67;67;16;0;263.0776041666667;318.0;4209.241666666667;[188.0, 200.0, 201.5999999999999, 228.0, 280.0, 313.8333333333335, 300.0, 318.0, 310.0, 310.0, 310.0, 306.0, 307.5583333333334, 288.0, 230.0, 118.25];1260;1909-06-01;1909;6;1909-06-24;6;1909-06-17;6335050;RHINE RIVER
68;68;5;7;114.96833333333333;185.8208333333332;574.8416666666667;[94.74166666666679, 138.32500000000005, 185.8208333333332, 118.59999999999991, 37.35416666666674];1500;1909-06-24;1909;6;1909-07-01;7;1909-06-29;6335050;RHINE RIVER
69;69;18;279;122.50069444444443;196.0;2205.0125;[28.25, 55.52083333333326, 48.0, 159.23333333333335, 150.0, 182.0, 167.5333333333333, 164.86458333333326, 98.0, 150.0, 140.71041666666656, 158.60833333333335, 196.0, 188.0, 170.0, 108.66666666666674, 32.875, 6.75];1390;1910-04-04;1910;4;1910-05-04;5;1910-04-22;6335050;RHINE RIVER
70;70;1;292;16.0;16.0;16.0;[16.0];1390;1911-02-08;1911;2;1911-02-09;2;1911-02-09;6335050;RHINE RIVER
71;71;11;1;189.43068181818182;256.0;2083.7375;[56.0, 134.0, 176.0, 230.0, 236.0, 250.0, 256.0, 230.0, 198.0, 165.73749999999995, 152.0];1170;1911-02-10;1911;2;1911-02-27;2;1911-02-21;6335050;RHINE RIVER
72;72;14;54;104.6596726190476;144.0;1465.2354166666664;[36.0, 78.0, 100.0, 108.66666666666674, 112.875, 136.75, 128.67291666666665, 121.49166666666656, 144.0, 130.0, 103.70000000000005, 101.59999999999991, 105.47916666666652, 58.0];1330;1911-04-16;1911;4;1911-05-08;5;1911-04-30;6335050;RHINE RIVER
73;73;6;11;28.620138888888885;38.0;171.7208333333333;[29.21250000000009, 37.416666666666515, 26.0, 32.0, 38.0, 9.091666666666697];1480;1911-05-11;1911;5;1911-05-21;5;1911-05-17;6335050;RHINE RIVER
74;74;13;63;103.50400641025642;222.0;1345.5520833333335;[8.0, 15.950000000000045, 19.875, 10.0, 37.7166666666667, 89.32708333333335, 109.20000000000005, 130.9083333333333, 156.0, 174.57500000000005, 178.0, 194.0, 222.0];1200;1911-07-19;1911;7;1911-08-12;8;1911-08-01;6335050;RHINE RIVER
75;75;31;0;284.0297043010753;354.5250000000001;8804.920833333334;[230.0, 235.70000000000005, 240.0, 218.0, 171.04166666666652, 150.0, 196.2750000000001, 228.0, 265.22291666666683, 277.6208333333334, 294.45000000000005, 291.8499999999999, 299.20000000000005, 283.95416666666665, 288.0, 288.44583333333344, 295.0, 321.0, 319.0, 327.96875, 354.5250000000001, 349.15625, 341.9333333333334, 327.57500000000005, 322.00833333333344, 321.0, 307.0, 345.1875, 331.0, 313.15625, 271.6500000000001];904;1911-08-01;1911;8;1911-09-20;9;1911-09-01;6335050;RHINE RIVER
76;76;30;0;274.95458333333335;315.0;8248.6375;[257.0, 248.0, 243.0, 252.0, 265.0958333333333, 275.9375, 288.0, 288.0, 280.0, 305.0, 315.0, 312.13750000000005, 295.51666666666665, 294.0, 299.57500000000005, 301.4916666666668, 311.0, 311.0, 311.0, 299.0, 274.02083333333326, 277.33124999999995, 255.0, 276.0, 291.0, 296.0, 265.0, 206.0, 171.0, 185.53125];781;1911-09-01;1911;9;1911-10-10;10;1911-10-01;6335050;RHINE RIVER
77;77;12;0;100.25434027777779;170.0;1203.0520833333335;[160.0, 161.0, 170.0, 157.07500000000005, 123.0, 93.0, 48.0, 51.3458333333333, 77.94375000000014, 68.0, 52.0, 41.6875];866;1911-10-01;1911;10;1911-10-15;10;1911-10-13;6335050;RHINE RIVER
78;78;8;11;34.22223958333335;66.11249999999995;273.7779166666668;[6.0, 10.200000000000045, 50.75833333333344, 66.11249999999995, 46.08333333333337, 44.987499999999955, 38.15625, 11.480000000000018];929;1911-10-24;1911;10;1911-11-03;11;1911-11-01;6335050;RHINE RIVER
79;79;12;7;72.66840277777779;121.15625;872.0208333333335;[55.0, 92.0, 121.15625, 117.29375000000005, 111.57083333333344, 103.0, 104.0, 74.0, 36.0, 40.0, 6.0, 12.0];918;1911-11-08;1911;11;1911-11-22;11;1911-11-20;6335050;RHINE RIVER
80;80;5;18;56.30500000000002;95.52500000000009;281.5250000000001;[6.0, 26.0, 62.0, 92.0, 95.52500000000009];1140;1911-12-08;1911;12;1911-12-17;12;1911-12-13;6335050;RHINE RIVER
81;81;1;6;6.0;6.0;6.0;[6.0];1260;1911-12-19;1911;12;1911-12-20;12;1911-12-20;6335050;RHINE RIVER
82;82;6;45;97.33333333333333;178.0;584.0;[46.0, 78.0, 106.0, 178.0, 120.0, 56.0];1250;1912-02-03;1912;2;1912-02-12;2;1912-02-09;6335050;RHINE RIVER
83;83;6;76;89.50763888888885;178.26666666666665;537.0458333333331;[3.7000000000000455, 31.59999999999991, 75.47916666666652, 108.0, 140.0, 178.26666666666665];1290;1912-04-25;1912;4;1912-05-05;5;1912-05-01;6335050;RHINE RIVER
84;84;12;0;267.61493055555553;338.95000000000005;3211.3791666666666;[210.0, 254.4645833333334, 270.0, 266.42499999999995, 260.0, 285.8520833333332, 296.3166666666666, 286.74166666666656, 338.95000000000005, 319.2125000000001, 267.4166666666665, 156.0];1180;1912-05-01;1912;5;1912-05-21;5;1912-05-13;6335050;RHINE RIVER
85;85;2;290;37.0;58.0;74.0;[58.0, 16.0];1420;1913-02-27;1913;2;1913-02-28;2;1913-03-01;6335050;RHINE RIVER
86;86;10;0;75.56333333333335;174.23333333333335;755.6333333333334;[12.450000000000045, 70.0, 58.0, 61.25, 48.0, 126.0, 174.23333333333335, 141.4416666666666, 26.0, 38.25833333333344];1350;1913-03-01;1913;3;1913-03-17;3;1913-03-11;6335050;RHINE RIVER
87;87;9;3;91.35000000000001;148.0;822.1500000000001;[10.0, 68.0, 148.0, 140.0, 100.0, 132.0250000000001, 108.125, 70.0, 46.0];1390;1913-03-14;1913;3;1913-03-25;3;1913-03-23;6335050;RHINE RIVER
88;88;6;319;42.666666666666664;66.0;256.0;[16.0, 38.0, 40.0, 66.0, 50.0, 46.0];1320;1914-02-05;1914;2;1914-02-14;2;1914-02-11;6335050;RHINE RIVER
89;89;9;628;79.9900462962963;120.0;719.9104166666667;[40.80000000000007, 51.2791666666667, 60.0625, 83.0, 93.76874999999995, 87.20000000000005, 71.79999999999995, 120.0, 112.0];898;1915-11-01;1915;11;1915-11-17;11;1915-11-10;6335050;RHINE RIVER
90;90;3;21;52.26666666666665;90.0;156.79999999999995;[50.799999999999955, 90.0, 16.0];1040;1915-12-01;1915;12;1915-12-05;12;1915-12-04;6335050;RHINE RIVER
91;91;18;429;173.81608796296297;260.0;3128.6895833333333;[76.0, 68.0, 70.0, 106.0, 30.0, 96.0, 224.0, 236.0, 260.0, 256.0, 220.0, 256.0, 250.0, 218.0, 205.73749999999995, 232.0, 206.70000000000005, 118.2520833333333];1150;1917-02-05;1917;2;1917-03-03;3;1917-02-23;6335050;RHINE RIVER
92;92;8;11;195.47395833333334;290.0;1563.7916666666667;[66.0, 134.23333333333335, 171.4416666666666, 186.0, 258.25833333333344, 250.0, 290.0, 207.85833333333335];1290;1917-03-06;1917;3;1917-03-20;3;1917-03-14;6335050;RHINE RIVER
93;93;1;16;17.586956521739012;17.586956521739012;17.586956521739012;[17.586956521739012];1510;1917-03-30;1917;3;1917-03-31;3;1917-03-31;6335050;RHINE RIVER
94;94;9;267;84.99976851851855;144.21875;764.9979166666669;[1.056250000000091, 50.456249999999955, 113.16875000000005, 144.21875, 132.51041666666674, 72.45000000000005, 93.98125000000005, 101.15625, 56.0];1100;1917-12-23;1917;12;1918-01-03;1;1918-01-01;6335050;RHINE RIVER
95;95;10;0;222.91645833333337;378.0;2229.1645833333337;[67.02291666666679, 76.92499999999995, 118.0, 240.0, 373.2083333333335, 378.0, 360.0, 304.0, 276.00833333333344, 36.0];1000;1918-01-01;1918;1;1918-01-16;1;1918-01-11;6335050;RHINE RIVER
96;96;6;41;85.3;136.29791666666665;511.79999999999995;[36.700000000000045, 98.2520833333333, 136.29791666666665, 98.54999999999995, 98.0, 44.0];1350;1918-02-21;1918;2;1918-03-01;3;1918-02-27;6335050;RHINE RIVER
97;97;19;14;282.3563310450038;445.1916666666666;5364.770289855072;[37.85833333333335, 80.0, 138.0, 188.0, 200.0, 190.0, 242.0250000000001, 238.125, 260.0, 296.0, 344.23125000000005, 346.0, 328.88541666666674, 376.0, 410.0, 445.1916666666666, 428.86666666666656, 397.586956521739, 418.0];1130;1918-03-13;1918;3;1918-04-15;4;1918-04-01;6335050;RHINE RIVER
98;98;3;0;317.44722222222225;428.3416666666667;952.3416666666667;[428.3416666666667, 350.0, 174.0];1130;1918-04-01;1918;4;1918-04-04;4;1918-04-04;6335050;RHINE RIVER
